date,y10,y30
2002-01-04,3.2096,4.46
2002-01-07,3.2003,4.3724
2002-01-08,3.5225,2.4752
2002-01-09,3.5896,2.1569
2002-01-10,3.5784,2.1966
2002-01-11,3.4532,2.707
2002-01-14,3.5114,2.2714
2002-01-15,3.5023,2.3765
2002-01-16,3.4414,2.5444
2002-01-17,3.4511,2.4472
2002-01-18,3.2968,3.9507
2002-01-21,3.2563,4.09
2002-01-22,3.3182,3.8977
2002-01-23,3.1897,4.3568
2002-01-24,3.2581,4.0718
2002-01-25,3.0795,4.616
2002-01-28,3.1584,4.4025
2002-01-29,3.81,2.0557
2002-01-30,3.2152,4.2143
2002-01-31,3.2186,4.2093
2002-02-01,3.2016,4.2204
2002-02-04,3.218,3.9756
2002-02-05,3.1893,4.1812
2002-02-06,3.1897,4.271
2002-02-07,3.2491,3.5314
2002-02-08,3.2085,3.7068
2002-02-09,3.1948,3.7861
2002-02-10,3.2084,3.7534
2002-02-11,3.2173,3.7545
2002-02-19,3.1679,3.9172
2002-02-20,3.1647,3.7734
2002-02-21,3.1583,3.9061
2002-02-22,3.2237,3.5781
2002-02-25,3.1616,3.6918
2002-02-26,3.1512,3.7133
2002-02-27,3.1481,3.6946
2002-02-28,3.1315,3.7123
2002-03-01,3.1155,3.7903
2002-03-04,3.0828,3.9611
2002-03-05,3.085,3.8552
2002-03-06,3.0864,3.6601
2002-03-07,3.084,3.6497
2002-03-08,3.0656,3.2935
2002-03-11,3.073,3.1323
2002-03-12,3.0044,3.3763
2002-03-13,2.9872,3.4235
2002-03-14,2.9798,3.4167
2002-03-15,3.0188,3.2722
2002-03-18,3.0232,3.5665
2002-03-19,2.9442,3.8201
2002-03-20,3.0009,3.4695
2002-03-21,2.9508,3.3746
2002-03-22,2.9468,3.2474
2002-03-25,2.9166,3.2109
2002-03-26,2.9052,3.2951
2002-03-27,3.0714,2.6409
2002-03-28,3.0536,2.9604
2002-03-29,2.8551,3.0432
2002-04-01,2.7433,3.514
2002-04-02,2.7048,5.4377
2002-04-03,2.9179,2.7164
2002-04-04,2.7323,3.0381
2002-04-05,3.2699,1.7409
2002-04-08,2.7346,2.9983
2002-04-09,2.7982,2.7108
2002-04-10,2.7158,3.0818
2002-04-11,2.6737,3.3297
2002-04-12,2.6736,3.3509
2002-04-15,2.6374,3.3989
2002-04-16,2.5653,3.5825
2002-04-17,2.6181,3.8966
2002-04-18,2.5275,4.2481
2002-04-19,2.58,3.5369
2002-04-22,2.5865,3.3542
2002-04-23,2.5637,4.2216
2002-04-24,2.605,3.0176
2002-04-25,2.5478,3.1625
2002-04-26,1.9775,10.5366
2002-04-27,2.6304,2.7586
2002-04-28,3.5186,0.0637
2002-04-29,2.5363,3.0567
2002-04-30,2.5022,3.3321
2002-05-08,2.5363,3.1324
2002-05-09,2.5192,3.1961
2002-05-10,2.4972,6.1136
2002-05-13,2.5072,3.1507
2002-05-14,2.5447,3.0191
2002-05-15,2.5035,3.1202
2002-05-16,2.4959,3.3695
2002-05-17,2.5423,2.9396
2002-05-20,2.4837,3.0925
2002-05-21,2.4961,3.737
2002-05-22,2.5476,2.9937
2002-05-23,2.5547,2.7458
2002-05-24,2.4983,2.9573
2002-05-27,2.4462,2.7204
2002-05-28,2.4178,2.7403
2002-05-29,2.4199,2.686
2002-05-30,2.3924,2.8361
2002-05-31,2.381,2.8481
2002-06-03,2.3353,3.0519
2002-06-04,2.7385,2.7578
2002-06-05,2.8028,2.6287
2002-06-06,2.4016,2.9321
2002-06-07,2.6786,3.0907
2002-06-10,2.4376,2.9225
2002-06-11,2.4831,2.9502
2002-06-12,2.4339,2.9275
2002-06-13,2.4341,2.9442
2002-06-14,2.4564,2.9475
2002-06-17,2.4467,2.9602
2002-06-18,2.3741,2.9463
2002-06-19,2.4818,2.9138
2002-06-20,2.4517,2.9605
2002-06-21,2.4606,2.9554
2002-06-24,2.4936,2.9275
2002-06-25,2.7081,3.0966
2002-06-26,2.6982,3.0335
2002-06-27,2.5912,2.9724
2002-06-28,2.5798,3.032
2002-07-01,2.5719,2.9418
2002-07-02,2.5258,2.9288
2002-07-03,2.6252,2.9766
2002-07-04,2.5196,2.9664
2002-07-05,2.6093,3.0612
2002-07-08,2.5264,3.0216
2002-07-09,2.5154,3.0289
2002-07-10,2.5941,3.0149
2002-07-11,2.5707,2.9965
2002-07-12,2.5536,2.9832
2002-07-15,2.8396,3.0855
2002-07-16,2.7022,2.9754
2002-07-17,2.7554,2.9603
2002-07-18,2.7564,2.9215
2002-07-19,2.9312,3.0026
2002-07-22,2.9691,2.9796
2002-07-23,2.8758,2.9682
2002-07-24,2.9785,2.9978
2002-07-25,2.7816,2.9241
2002-07-26,2.8931,3.0384
2002-07-29,2.7962,2.9307
2002-07-30,2.8115,3.0636
2002-07-31,2.869,3.1575
2002-08-01,2.9805,3.0342
2002-08-02,3.0287,3.2357
2002-08-05,3.0054,3.3193
2002-08-06,2.9415,3.3559
2002-08-07,2.99,3.3414
2002-08-08,2.8753,3.1139
2002-08-09,3.1741,3.1379
2002-08-12,3.0804,3.072
2002-08-13,2.9737,2.9514
2002-08-14,3.0038,2.9204
2002-08-15,2.988,3.3506
2002-08-16,3.3451,3.2949
2002-08-19,3.3411,3.2896
2002-08-20,3.3896,3.2825
2002-08-21,3.3991,3.1944
2002-08-22,2.8007,3.2714
2002-08-26,3.3751,3.2877
2002-08-27,3.3321,3.2126
2002-08-28,3.3262,3.3275
2002-08-29,3.0539,3.2362
2002-08-30,3.0595,3.2842
2002-09-02,3.1491,3.246
2002-09-03,2.8736,3.009
2002-09-04,2.9627,2.9953
2002-09-05,3.5311,2.9056
2002-09-06,3.4072,2.9308
2002-09-09,3.497,3.0184
2002-09-10,3.3954,2.8674
2002-09-11,2.9574,2.9219
2002-09-12,3.0011,2.9362
2002-09-13,3.5097,2.9536
2002-09-16,3.1667,3.134
2002-09-17,3.2284,3.1774
2002-09-18,2.9506,3.0478
2002-09-19,3.2036,3.1702
2002-09-20,3.2078,3.1596
2002-09-23,3.0333,3.1317
2002-09-24,3.0304,2.9106
2002-09-25,3.2877,2.922
2002-09-26,2.9575,3.1434
2002-09-27,3.1266,3.2394
2002-09-28,2.9491,3.1129
2002-09-29,3.3758,3.173
2002-09-30,3.1397,2.9652
2002-10-08,3.1328,3.1963
2002-10-09,3.1919,3.1871
2002-10-10,3.0882,3.1253
2002-10-11,3.101,3.1247
2002-10-14,3.0843,3.1289
2002-10-15,3.0876,3.125
2002-10-16,3.0828,3.1248
2002-10-17,3.0918,3.0918
2002-10-18,2.969,2.8678
2002-10-21,3.1401,2.9925
2002-10-22,3.1594,2.9878
2002-10-23,3.0967,2.9846
2002-10-24,2.9092,2.9519
2002-10-25,3.0202,2.9448
2002-10-28,2.8949,2.9517
2002-10-29,3.1323,2.8558
2002-10-30,3.1979,2.9611
2002-10-31,2.9978,3.1968
2002-11-01,3.2675,3.1281
2002-11-04,3.24,3.1872
2002-11-05,3.3014,3.1502
2002-11-06,3.3012,3.1445
2002-11-07,3.3167,3.146
2002-11-08,3.3773,3.0244
2002-11-11,3.2947,3.1249
2002-11-12,3.2886,3.1228
2002-11-13,3.302,3.1118
2002-11-14,3.3067,3.1195
2002-11-15,3.2957,3.1271
2002-11-18,3.2822,3.2126
2002-11-19,3.2926,3.1444
2002-11-20,3.2619,3.2172
2002-11-21,3.296,2.8761
2002-11-22,3.249,2.913
2002-11-25,3.2596,2.8232
2002-11-26,3.2682,2.8075
2002-11-27,3.2826,2.8071
2002-11-28,3.3,2.7982
2002-11-29,3.5248,2.7243
2002-12-02,3.3229,2.8929
2002-12-03,3.3357,2.7842
2002-12-04,3.3227,2.7922
2002-12-05,3.2596,2.8198
2002-12-06,3.3433,2.7773
2002-12-09,3.3361,2.7625
2002-12-10,3.1527,2.9488
2002-12-11,3.1962,2.8464
2002-12-12,3.3755,2.7553
2002-12-13,3.2664,2.8936
2002-12-16,3.3202,2.7796
2002-12-17,3.3332,2.7441
2002-12-18,2.9758,2.8077
2002-12-19,3.1929,2.8078
2002-12-20,3.1941,3.3405
2002-12-23,3.2778,3.32
2002-12-24,2.8596,3.4735
2002-12-25,3.1451,2.9044
2002-12-26,3.232,2.7817
2002-12-27,3.5878,2.7834
2002-12-30,3.4611,3.3716
2002-12-31,3.1776,2.9514
2003-01-02,3.0781,2.8453
2003-01-03,3.1402,3.3474
2003-01-06,3.2379,2.8135
2003-01-07,3.1941,2.9507
2003-01-08,3.1692,3.3125
2003-01-09,3.3369,3.2597
2003-01-10,3.1219,3.3328
2003-01-13,3.0967,3.3104
2003-01-14,3.1497,3.3288
2003-01-15,3.1259,3.2845
2003-01-16,3.2081,3.2587
2003-01-17,3.2389,3.2388
2003-01-20,3.1604,3.2805
2003-01-21,3.2106,3.2151
2003-01-22,3.0718,3.2629
2003-01-23,3.072,3.2587
2003-01-24,3.0137,3.4179
2003-01-27,3.0528,3.2986
2003-01-28,3.0326,2.7518
2003-01-29,3.1265,2.7132
2003-01-30,3.0535,2.8612
2003-01-31,3.0984,2.8421
2003-02-08,3.1389,2.6431
2003-02-09,3.3187,3.221
2003-02-10,3.1675,2.9484
2003-02-11,3.0664,3.3941
2003-02-12,3.1915,2.6163
2003-02-13,3.198,2.6121
2003-02-14,3.2047,2.5886
2003-02-17,3.1263,3.3636
2003-02-18,3.2831,2.532
2003-02-19,3.2237,2.5787
2003-02-20,3.1959,2.5842
2003-02-21,3.1681,2.6008
2003-02-24,2.9318,3.4577
2003-02-25,3.4377,3.0574
2003-02-26,3.2151,2.599
2003-02-27,3.224,2.5511
2003-02-28,3.1225,2.6043
2003-03-03,2.9806,3.3995
2003-03-04,3.1687,3.0928
2003-03-05,2.9242,3.4599
2003-03-06,3.0171,2.8633
2003-03-07,3.2311,2.5078
2003-03-10,2.9959,2.904
2003-03-11,2.9064,2.949
2003-03-12,3.201,3.1103
2003-03-13,3.4914,3.3058
2003-03-14,3.0836,3.3936
2003-03-17,3.1414,3.086
2003-03-18,3.0897,3.2301
2003-03-19,3.1057,2.9472
2003-03-20,3.1698,3.6026
2003-03-21,2.876,4.0351
2003-03-24,3.1577,3.0184
2003-03-25,3.1115,2.6672
2003-03-26,2.8754,3.4122
2003-03-27,3.2573,2.4115
2003-03-28,3.018,3.2014
2003-03-31,2.9228,3.2314
2003-04-01,2.8838,3.9546
2003-04-02,2.9212,3.2097
2003-04-03,2.9597,3.2163
2003-04-04,2.9595,3.2331
2003-04-07,2.9189,3.2215
2003-04-08,2.7718,3.2918
2003-04-09,2.9295,2.8819
2003-04-10,3.3455,2.7695
2003-04-11,3.0019,2.8985
2003-04-14,3.3415,2.2701
2003-04-15,2.8954,2.8326
2003-04-16,2.9654,2.8344
2003-04-17,3.3637,3.3706
2003-04-18,2.9659,3.0662
2003-04-21,2.8122,3.0698
2003-04-22,3.3122,2.388
2003-04-23,2.8198,3.3063
2003-04-24,3.4933,3.1422
2003-04-25,2.8707,3.7611
2003-04-28,2.9733,3.7145
2003-04-29,2.834,3.7482
2003-05-06,2.7789,3.2425
2003-05-07,2.8652,3.2726
2003-05-08,2.8743,3.2653
2003-05-09,2.7416,3.5486
2003-05-12,2.7021,3.5978
2003-05-13,2.9153,3.2437
2003-05-14,2.8497,3.2792
2003-05-15,2.8648,3.2709
2003-05-16,2.662,3.9343
2003-05-19,2.8939,3.2418
2003-05-20,2.834,2.8755
2003-05-21,2.885,2.8465
2003-05-22,2.9155,2.8357
2003-05-23,2.7987,3.3067
2003-05-26,2.8539,3.1779
2003-05-27,2.8527,3.1627
2003-05-28,2.8799,2.8219
2003-05-29,2.8693,3.6213
