date,close
2015-01-05,0.913
2015-01-06,0.92
2015-01-07,0.922
2015-01-08,0.921
2015-01-09,0.921
2015-01-12,0.932
2015-01-13,0.938
2015-01-14,0.939
2015-01-15,0.93
2015-01-16,0.956
2015-01-19,0.97
2015-01-20,0.971
2015-01-21,0.987
2015-01-22,0.976
2015-01-23,0.986
2015-01-26,0.989
2015-01-27,0.98
2015-01-28,0.983
2015-01-29,0.977
2015-01-30,0.961
2015-02-02,0.979
2015-02-03,0.98
2015-02-04,0.967
2015-02-05,0.969
2015-02-06,0.967
2015-02-09,0.948
2015-02-10,0.95
2015-02-11,0.944
2015-02-12,0.933
2015-02-13,0.94
2015-02-16,0.944
2015-02-17,0.938
2015-02-25,0.928
2015-02-26,0.929
2015-02-27,0.929
2015-03-02,0.939
2015-03-03,0.93
2015-03-04,0.927
2015-03-05,0.923
2015-03-06,0.92
2015-03-09,0.901
2015-03-10,0.894
2015-03-11,0.893
2015-03-12,0.895
2015-03-13,0.891
2015-03-16,0.892
2015-03-17,0.884
2015-03-18,0.877
2015-03-19,0.89
2015-03-20,0.89
2015-03-23,0.898
2015-03-24,0.902
2015-03-25,0.904
2015-03-26,0.915
2015-03-27,0.913
2015-03-30,0.906
2015-03-31,0.894
2015-04-01,0.898
2015-04-02,0.912
2015-04-03,0.909
2015-04-07,0.916
2015-04-08,0.918
2015-04-09,0.905
2015-04-10,0.906
2015-04-13,0.916
2015-04-14,0.907
2015-04-15,0.904
2015-04-16,0.912
2015-04-17,0.91
2015-04-20,0.917
2015-04-21,0.905
2015-04-22,0.91
2015-04-23,0.899
2015-04-24,0.906
2015-04-27,0.898
2015-04-28,0.912
2015-04-29,0.916
2015-04-30,0.91
2015-05-04,0.899
2015-05-05,0.902
2015-05-06,0.906
2015-05-07,0.898
2015-05-08,0.901
2015-05-11,0.899
2015-05-12,0.898
2015-05-13,0.906
2015-05-14,0.921
2015-05-15,0.923
2015-05-18,0.93
2015-05-19,0.924
2015-05-20,0.914
2015-05-21,0.917
2015-05-22,0.916
2015-05-25,0.912
2015-05-26,0.907
2015-05-27,0.901
2015-05-28,0.899
2015-05-29,0.9
2015-06-01,0.898
2015-06-02,0.9
2015-06-03,0.9
2015-06-04,0.894
2015-06-05,0.891
2015-06-08,0.889
2015-06-09,0.891
2015-06-10,0.898
2015-06-11,0.896
2015-06-12,0.896
2015-06-15,0.897
2015-06-16,0.899
2015-06-17,0.893
2015-06-18,0.9
2015-06-19,0.907
2015-06-23,0.899
2015-06-24,0.888
2015-06-25,0.891
2015-06-26,0.89
2015-06-29,0.893
2015-06-30,0.89
2015-07-01,0.888
2015-07-02,0.882
2015-07-03,0.886
2015-07-06,0.886
2015-07-07,0.886
2015-07-08,0.868
2015-07-09,0.881
2015-07-10,0.882
2015-07-13,0.878
2015-07-14,0.874
2015-07-15,0.876
2015-07-16,0.87
2015-07-17,0.869
2015-07-20,0.847
2015-07-21,0.84
2015-07-22,0.829
2015-07-23,0.832
2015-07-24,0.823
2015-07-27,0.838
2015-07-28,0.832
2015-07-29,0.832
2015-07-30,0.824
2015-07-31,0.821
2015-08-03,0.831
2015-08-04,0.826
2015-08-05,0.824
2015-08-06,0.824
2015-08-07,0.828
2015-08-10,0.833
2015-08-11,0.852
2015-08-12,0.88
2015-08-13,0.875
2015-08-14,0.871
2015-08-17,0.873
2015-08-18,0.875
2015-08-19,0.878
2015-08-20,0.888
2015-08-21,0.901
2015-08-24,0.906
2015-08-25,0.9
2015-08-26,0.892
2015-08-27,0.882
2015-08-28,0.883
2015-08-31,0.885
2015-09-01,0.888
2015-09-02,0.889
2015-09-07,0.874
2015-09-08,0.873
2015-09-09,0.875
2015-09-10,0.863
2015-09-11,0.864
2015-09-14,0.862
2015-09-15,0.862
2015-09-16,0.863
2015-09-17,0.872
2015-09-18,0.878
2015-09-21,0.886
2015-09-22,0.883
2015-09-23,0.88
2015-09-24,0.885
2015-09-25,0.89
2015-09-28,0.884
2015-09-29,0.872
2015-09-30,0.872
2015-10-08,0.888
2015-10-09,0.888
2015-10-12,0.897
2015-10-13,0.894
2015-10-14,0.907
2015-10-15,0.913
2015-10-16,0.91
2015-10-19,0.906
2015-10-20,0.908
2015-10-21,0.909
2015-10-22,0.904
2015-10-23,0.909
2015-10-26,0.901
2015-10-27,0.902
2015-10-28,0.907
2015-10-29,0.898
2015-10-30,0.884
2015-11-02,0.882
2015-11-03,0.878
2015-11-04,0.865
2015-11-05,0.858
2015-11-06,0.859
2015-11-09,0.848
2015-11-10,0.848
2015-11-11,0.848
2015-11-12,0.845
2015-11-13,0.844
2015-11-16,0.853
2015-11-17,0.84
2015-11-18,0.835
2015-11-19,0.838
2015-11-20,0.844
2015-11-23,0.835
2015-11-24,0.837
2015-11-25,0.842
