date,close
2015-01-05,1.357
2015-01-06,1.341
2015-01-07,1.358
2015-01-08,1.384
2015-01-09,1.375
2015-01-12,1.359
2015-01-13,1.356
2015-01-14,1.35
2015-01-15,1.332
2015-01-16,1.349
2015-01-20,1.359
2015-01-21,1.367
2015-01-22,1.392
2015-01-23,1.396
2015-01-26,1.396
2015-01-27,1.36
2015-01-28,1.349
2015-01-29,1.362
2015-01-30,1.353
2015-02-02,1.366
2015-02-03,1.379
2015-02-04,1.377
2015-02-05,1.39
2015-02-06,1.379
2015-02-09,1.376
2015-02-10,1.396
2015-02-11,1.402
2015-02-12,1.419
2015-02-13,1.429
2015-02-17,1.431
2015-02-25,1.45
2015-02-26,1.456
2015-02-27,1.452
2015-03-02,1.467
2015-03-03,1.459
2015-03-04,1.454
2015-03-05,1.457
2015-03-06,1.439
2015-03-09,1.444
2015-03-10,1.417
2015-03-11,1.412
2015-03-12,1.422
2015-03-13,1.414
2015-03-16,1.432
2015-03-17,1.433
2015-03-18,1.448
2015-03-19,1.447
2015-03-20,1.459
2015-03-23,1.453
2015-03-24,1.447
2015-03-25,1.413
2015-03-26,1.407
2015-03-27,1.414
2015-03-30,1.431
2015-03-31,1.416
2015-04-01,1.409
2015-04-02,1.41
2015-04-07,1.416
2015-04-08,1.427
2015-04-09,1.436
2015-04-10,1.442
2015-04-13,1.439
2015-04-14,1.435
2015-04-15,1.443
2015-04-16,1.438
2015-04-17,1.414
2015-04-20,1.436
2015-04-21,1.442
2015-04-22,1.45
2015-04-23,1.457
2015-04-24,1.476
2015-04-27,1.471
2015-04-28,1.467
2015-04-29,1.457
2015-04-30,1.431
2015-05-04,1.455
2015-05-05,1.432
2015-05-06,1.422
2015-05-07,1.429
2015-05-08,1.448
2015-05-11,1.441
2015-05-12,1.436
2015-05-13,1.437
2015-05-14,1.458
2015-05-15,1.458
2015-05-18,1.465
2015-05-19,1.462
2015-05-20,1.463
2015-05-21,1.471
2015-05-22,1.47
2015-05-26,1.453
2015-05-27,1.477
2015-05-28,1.472
2015-05-29,1.463
2015-06-01,1.466
2015-06-02,1.461
2015-06-03,1.464
2015-06-04,1.455
2015-06-05,1.453
2015-06-08,1.441
2015-06-09,1.44
2015-06-10,1.458
2015-06-11,1.458
2015-06-12,1.448
2015-06-15,1.442
2015-06-16,1.448
2015-06-17,1.453
2015-06-18,1.471
2015-06-19,1.465
2015-06-23,1.476
2015-06-24,1.468
2015-06-25,1.465
2015-06-26,1.456
2015-06-29,1.424
2015-06-30,1.428
2015-07-01,1.439
2015-07-02,1.441
2015-07-06,1.436
2015-07-07,1.439
2015-07-08,1.414
2015-07-09,1.414
2015-07-10,1.435
2015-07-13,1.458
2015-07-14,1.468
2015-07-15,1.47
2015-07-16,1.49
2015-07-17,1.511
2015-07-20,1.517
2015-07-21,1.514
2015-07-22,1.497
2015-07-23,1.493
2015-07-24,1.478
2015-07-27,1.466
2015-07-28,1.479
2015-07-29,1.485
2015-07-30,1.492
2015-07-31,1.489
2015-08-03,1.486
2015-08-04,1.483
2015-08-05,1.494
2015-08-06,1.473
2015-08-07,1.47
2015-08-10,1.487
2015-08-11,1.495
2015-08-12,1.521
2015-08-13,1.534
2015-08-14,1.537
2015-08-17,1.548
2015-08-18,1.541
2015-08-19,1.53
2015-08-20,1.487
2015-08-21,1.426
2015-08-24,1.374
2015-08-25,1.37
2015-08-26,1.438
2015-08-27,1.473
2015-08-28,1.473
2015-08-31,1.453
2015-09-01,1.405
2015-09-02,1.44
2015-09-08,1.456
2015-09-09,1.439
2015-09-10,1.456
2015-09-11,1.464
2015-09-14,1.459
2015-09-15,1.475
2015-09-16,1.484
2015-09-17,1.484
2015-09-18,1.462
2015-09-21,1.467
2015-09-22,1.448
2015-09-23,1.449
2015-09-24,1.445
2015-09-25,1.433
2015-09-28,1.391
2015-09-29,1.383
2015-09-30,1.414
2015-10-08,1.468
2015-10-09,1.475
2015-10-12,1.477
2015-10-13,1.463
2015-10-14,1.465
2015-10-15,1.488
2015-10-16,1.496
2015-10-19,1.505
2015-10-20,1.5
2015-10-21,1.488
2015-10-22,1.517
2015-10-23,1.558
2015-10-26,1.559
2015-10-27,1.561
2015-10-28,1.574
2015-10-29,1.573
2015-10-30,1.564
2015-11-02,1.573
2015-11-03,1.581
2015-11-04,1.582
2015-11-05,1.579
2015-11-06,1.582
2015-11-09,1.567
2015-11-10,1.564
2015-11-11,1.563
2015-11-12,1.548
2015-11-13,1.521
2015-11-16,1.544
2015-11-17,1.544
2015-11-18,1.574
2015-11-19,1.574
2015-11-20,1.584
