date,close
2005-01-04,28560
2005-01-05,27990
2005-01-06,28470
2005-01-07,28420
2005-01-10,28150
2005-01-11,28510
2005-01-12,28900
2005-01-13,28810
2005-01-14,28800
2005-01-17,29290
2005-01-18,29250
2005-01-19,29590
2005-01-20,29570
2005-01-21,30000
2005-01-24,30620
2005-01-25,29580
2005-01-26,29020
2005-01-27,29620
2005-01-28,29610
2005-01-31,29470
2005-02-01,29550
2005-02-02,29460
2005-02-03,28920
2005-02-04,29270
2005-02-16,29990
2005-02-17,30290
2005-02-18,30990
2005-02-21,30110
2005-02-22,30520
2005-02-23,30220
2005-02-24,30740
2005-02-25,30220
2005-02-28,30860
2005-03-01,30680
2005-03-02,30540
2005-03-03,30620
2005-03-04,30520
2005-03-07,30760
2005-03-08,30920
2005-03-09,31260
2005-03-10,31300
2005-03-11,31170
2005-03-14,31250
2005-03-15,31340
2005-03-16,31450
2005-03-17,31550
2005-03-18,31160
2005-03-21,31530
2005-03-22,31440
2005-03-23,31180
2005-03-24,31030
2005-03-25,31390
2005-03-28,31340
2005-03-29,31440
2005-03-30,31280
2005-03-31,31550
2005-04-01,31720
2005-04-04,31560
2005-04-05,31630
2005-04-06,32110
2005-04-07,32530
2005-04-08,32450
2005-04-11,33150
2005-04-12,33270
2005-04-13,33040
2005-04-14,31710
2005-04-15,32210
2005-04-18,32350
2005-04-19,32910
2005-04-20,33560
2005-04-21,32310
2005-04-22,32740
2005-04-25,32350
2005-04-26,32690
2005-04-27,31920
2005-04-28,31870
2005-04-29,32090
2005-05-09,32380
2005-05-10,32680
2005-05-11,32430
2005-05-12,32010
2005-05-13,30910
2005-05-16,31070
2005-05-17,30450
2005-05-18,30700
2005-05-19,30750
2005-05-20,30770
2005-05-23,30530
2005-05-24,30990
2005-05-25,30990
2005-05-26,30950
2005-05-27,31160
2005-05-30,31020
2005-05-31,30680
2005-06-01,29730
2005-06-02,30700
2005-06-03,31190
2005-06-06,32510
2005-06-07,32370
2005-06-08,31850
2005-06-09,31960
2005-06-10,32540
2005-06-13,32700
2005-06-14,32340
2005-06-15,32690
2005-06-16,32880
2005-06-17,33290
2005-06-20,34370
2005-06-21,33960
2005-06-22,34070
2005-06-23,33440
2005-06-24,33860
2005-06-27,33080
2005-06-28,32770
2005-06-29,32300
2005-06-30,32850
2005-07-01,32520
2005-07-04,31920
2005-07-05,32240
2005-07-06,32550
2005-07-07,33040
2005-07-08,33050
2005-07-11,33070
2005-07-12,33220
2005-07-13,33080
2005-07-14,33350
2005-07-15,33190
