,2022股债双杀 (2022-01 ~ 2022-11),2022理财赎回潮 (2022-11),2024雪球危机 (2024-01 ~ 2024-02),2024-08 30Y回撤 (2024-08)
原文-保守型(代码错配修正后等比),-0.008838442551951986,0.01836769454635645,0.011928997957933563,0.031197851604456206
原文-进取型,-0.030253616886810608,0.02519670342988034,0.0056205535738069745,0.07616475955218682
我的方案A-平衡型(真全天候),0.0409160997146818,0.027882937893604076,0.025773465887787728,0.034977569947300946
我的方案-保守型(重排),0.01011744929803271,0.016961677923744478,0.017974061687531462,0.029174283987151606
我的方案-权益增强型,-0.030421900439795868,0.05417551411169663,0.02286521143577147,0.0872232904621415
纯沪深300,-0.21650648211128465,0.10343736702707407,0.038309957145624685,0.17506325186070604
经典60/40 (HS300+10Y国债),-0.12161401875155087,0.05692605375667403,0.030377945993032895,0.10349173661310118
AllSeasons字面照搬(中国版),-0.01438066516985459,0.03397600671780898,0.029197751952728224,0.05651768761273246
保守-红利低波加重版,0.037247631988065466,0.015669693312096777,0.022407736452065397,0.02340494703587881
平衡-A500替代沪深300,0.041032616329039984,0.026017006487158767,0.02416119399390171,0.035448971710084765
权益增强-不含gem50,-0.02731913146006515,0.05697560469934859,0.025326116057608372,0.07883421347240205
