桶,资产,代码,100% RP,85% RP+15%现金,70% RP+30%现金
增长↑,沪深 300 ETF,510300,0.020595464177754808,0.017506144551091587,0.014416824924428365
增长↑,红利 ETF (中证红利),510880,0.025172233995033648,0.0213963988957786,0.01762056379652355
增长↑,标普 500 ETF (QDII),513500,0.025172233995033648,0.0213963988957786,0.01762056379652355
增长↑,纳指 ETF (QDII),513100,0.018124008476424227,0.015405407204960593,0.012686805933496957
增长↑,日经 ETF (QDII),513520,0.022655010595530288,0.019256759006200743,0.0158585074168712
增长↑,有色 60 ETF,159992,0.016182150425378773,0.013754827861571957,0.01132750529776514
增长↑,城投债 ETF,511220,0.1812400847642423,0.15405407204960594,0.1268680593349696
增长↓,10 年国债 ETF,511260,0.3954982892344538,0.3361735458492857,0.27684880246411764
增长↓,30 年国债 ETF,511130,0.13842440123205885,0.11766074104725002,0.09689708086244118
通胀↑,黄金 ETF,518880,0.038690796362448654,0.03288717690808136,0.027083557453714057
通胀↑,能源 ETF,159930,0.024762109671967136,0.021047793221172065,0.017333476770376995
通胀↑,能化期货 ETF,159981,0.03439181898884325,0.02923304614051676,0.024074273292190272
通胀↑,有色金属 ETF,159980,0.03095263708995892,0.02630974152646508,0.02166684596297124
通胀↑,豆粕 ETF,159985,0.028138760990871748,0.023917946842240984,0.019697132693610224
通胀↓,货币基金,511880,0.0,0.15,0.3
