,年化,波动,回撤,Sharpe,Calmar,权益风险占比,债券风险占比,黄金风险占比,商品风险占比
纯沪深300,-0.0059220140612522565,0.17945937381442545,-0.45602619548225365,-0.03299919048740283,-0.0129861269372687,1.0,0.0,0.0,0.0
经典60/40,0.01806781625467435,0.10576674759274425,-0.25365308238028605,0.170827000601783,0.07123042261156683,1.0085507306093138,-0.00855073060931373,0.0,0.0
保守-用红利低波100,0.06609537959737866,0.038486317051055915,-0.030293069761074487,1.7173734631374724,2.1818647010250793,0.38658895370584817,0.050802666409963525,0.5626083798841882,0.0
保守-用中证红利,0.06762371932072475,0.03877523492876187,-0.029678433149221584,1.743992510811695,2.278547488700508,0.3962078094500357,0.04884986023217147,0.5549423303177928,0.0
保守-纯沪深300无红利,0.06327085030432644,0.04038678881932359,-0.0360207138371903,1.5666224563526991,1.7565129494741218,0.45008022182470886,0.041300816123825766,0.5086189620514654,0.0
平衡-用红利低波100,0.08893571210533868,0.04464842595376695,-0.030279258180453406,1.9919114774041715,2.9371826606620965,0.4622400434693493,0.15956445767301497,0.2665133920560439,0.11168210680159182
平衡-用中证红利,0.09207793982041368,0.044910164536396416,-0.026921618152757287,2.050269482887136,3.4202230823552164,0.4723424499549752,0.15366271411410037,0.26438485160793784,0.10960998432298676
平衡-纯沪深300无红利,0.08341340466534297,0.047455083202083616,-0.037760291816778646,1.7577338197919445,2.2090243653328585,0.5466145887161346,0.12647192209213487,0.23467341282327095,0.09224007636845957
权益增强-含gem50,0.07305552286282468,0.08371774793202687,-0.08128663652777757,0.8726408039803079,0.898739645081266,0.8865252462643065,-0.009553697344017002,0.0821205826758469,0.040907868403863665
权益增强-不含gem50加红利,0.07272094575102561,0.07803330421143176,-0.07339055007182582,0.9319219080354169,0.9908761506741006,0.8650037580412929,-0.009055339213873448,0.09506613331948852,0.04898544785309202
权益增强-不含gem50加沪深,0.06816874509713133,0.07992357311623982,-0.08461589891935883,0.8529241428932061,0.8056257271709414,0.8732178554094564,-0.009334360727912733,0.09040874560577526,0.04570775971268114
平衡-30Y偏重,0.0952751116279027,0.045574727409542735,-0.027599254211635116,2.0905251011540527,3.452090078134692,0.4518730516535425,0.1854322369051996,0.25726064675237353,0.10543406468888428
平衡-30Y减重,0.08384684071937598,0.04544398969360807,-0.028685091296532184,1.8450589678566331,2.92301111586535,0.5349485886881135,0.06015217749145171,0.28287258177538505,0.12202665204504994
原文-保守型(代码修正后),0.04051038584372213,0.030777325824289978,-0.02825529173346042,1.316241250945547,1.4337273961234316,0.7664757947443811,0.00508436873601914,0.2284398365195997,0.0
原文-进取型,0.08040708825296039,0.08075985092795375,-0.09322120816173096,0.9956319548520705,0.8625407226375017,0.8731407120879675,0.027668858954966857,0.08546755381096824,0.013722875146097477
